"","months","neighbourhood_cleansed","price"
"122",2020-11-01,"BUSSELTON",244.284268629255
"123",2020-12-01,"BUSSELTON",276.693757361602
"124",2021-01-01,"BUSSELTON",266.410032715376
"125",2021-02-01,"BUSSELTON",261.794117647059
"126",2021-03-01,"BUSSELTON",251.335282651072
"127",2021-04-01,"BUSSELTON",217.2
"128",2020-05-01,"CAMBRIDGE",124.886363636364
"129",2020-06-01,"CAMBRIDGE",123.443609022556
"130",2020-10-01,"CAMBRIDGE",101.048192771084
"131",2020-11-01,"CAMBRIDGE",100.494382022472
"132",2020-12-01,"CAMBRIDGE",112.060240963855
"133",2021-01-01,"CAMBRIDGE",107.621951219512
"134",2021-02-01,"CAMBRIDGE",104.670731707317
"135",2021-03-01,"CAMBRIDGE",110.666666666667
"136",2021-04-01,"CAMBRIDGE",78.3333333333333
"137",2020-05-01,"CANNING",77.505376344086
"138",2020-06-01,"CANNING",74.456204379562
"139",2020-10-01,"CANNING",82.9148936170213
"140",2020-11-01,"CANNING",83.2169312169312
"141",2020-12-01,"CANNING",85.6102564102564
"142",2021-01-01,"CANNING",85.0362694300518
"143",2021-02-01,"CANNING",86.4491978609626
"144",2021-03-01,"CANNING",88.5879120879121
"145",2021-04-01,"CANNING",69.125
"146",2020-05-01,"CAPEL",182.486111111111
"147",2020-06-01,"CAPEL",182.140845070423
"148",2020-10-01,"CAPEL",190.983870967742
"149",2020-11-01,"CAPEL",190.59375
"150",2020-12-01,"CAPEL",204.322580645161
"151",2021-01-01,"CAPEL",196.878787878788
"152",2021-02-01,"CAPEL",195.720588235294
"153",2021-03-01,"CAPEL",189.4375
"154",2021-04-01,"CAPEL",253.666666666667
"155",2020-10-01,"CARNAMAH",180
"156",2020-11-01,"CARNAMAH",180
"157",2020-12-01,"CARNAMAH",180
"158",2021-01-01,"CARNAMAH",197
"159",2021-02-01,"CARNAMAH",182
"160",2021-03-01,"CARNAMAH",180
"161",2020-05-01,"CARNARVON",205.470588235294
"162",2020-06-01,"CARNARVON",205.764705882353
"163",2020-12-01,"CARNARVON",123
"164",2021-01-01,"CARNARVON",120
"165",2021-02-01,"CARNARVON",155
"166",2021-03-01,"CARNARVON",155
"167",2020-05-01,"CHAPMAN VALLEY",210
"168",2020-06-01,"CHAPMAN VALLEY",210
"169",2020-11-01,"CHAPMAN VALLEY",156.333333333333
"170",2020-12-01,"CHAPMAN VALLEY",166.75
"171",2021-01-01,"CHAPMAN VALLEY",152.5
"172",2021-02-01,"CHAPMAN VALLEY",153.25
"173",2021-03-01,"CHAPMAN VALLEY",190.5
"174",2020-05-01,"CHITTERING",156.88
"175",2020-06-01,"CHITTERING",151.521739130435
"176",2020-10-01,"CHITTERING",177.04
"177",2020-11-01,"CHITTERING",173.708333333333
"178",2020-12-01,"CHITTERING",176.56
"179",2021-01-01,"CHITTERING",183.083333333333
"180",2021-02-01,"CHITTERING",186
"181",2021-03-01,"CHITTERING",196.045454545455
"182",2021-04-01,"CHITTERING",128
"183",2020-05-01,"CLAREMONT",138.525423728814
"184",2020-06-01,"CLAREMONT",138.210526315789
"185",2020-10-01,"CLAREMONT",129.72972972973
"186",2020-11-01,"CLAREMONT",130.263157894737
"187",2020-12-01,"CLAREMONT",138.675675675676
"188",2021-01-01,"CLAREMONT",142.297297297297
"189",2021-02-01,"CLAREMONT",132.111111111111
"190",2021-03-01,"CLAREMONT",135.885714285714
"191",2020-05-01,"COCKBURN",99.075
"192",2020-06-01,"COCKBURN",98.39
"193",2020-10-01,"COCKBURN",98.2967741935484
"194",2020-11-01,"COCKBURN",99.0320512820513
"195",2020-12-01,"COCKBURN",101.974522292994
"196",2021-01-01,"COCKBURN",101.737179487179
"197",2021-02-01,"COCKBURN",102.709677419355
"198",2021-03-01,"COCKBURN",103.148387096774
"199",2021-04-01,"COCKBURN",125.142857142857
"200",2020-05-01,"COLLIE",119.5
"201",2020-06-01,"COLLIE",119.785714285714
"202",2020-10-01,"COLLIE",129.0625
"203",2020-11-01,"COLLIE",129.375
"204",2020-12-01,"COLLIE",129.5625
"205",2021-01-01,"COLLIE",127.333333333333
"206",2021-02-01,"COLLIE",127
"207",2021-03-01,"COLLIE",129.263157894737
"208",2020-05-01,"COOLGARDIE",115.5
"209",2020-06-01,"COOLGARDIE",115.5
"210",2020-05-01,"COOROW",185.777777777778
