"","months","neighbourhood_cleansed","price","number_of_reviews","review_count_change","city"
"76",2020-07-01,"King Island",201,24.6666666666667,3,"Tasmania"
"77",2020-07-01,"Kingborough",164.612040133779,54.1170568561873,199,"Tasmania"
"78",2020-07-01,"Latrobe",154.333333333333,25,21,"Tasmania"
"79",2020-07-01,"Launceston",141.155844155844,75.8008658008658,181,"Tasmania"
"80",2020-07-01,"Meander Valley",144.958333333333,42.2604166666667,37,"Tasmania"
"81",2020-07-01,"Northern Midlands",148.120481927711,54.2530120481928,17,"Tasmania"
"82",2020-07-01,"Sorell",148.959183673469,45.4285714285714,37,"Tasmania"
"83",2020-07-01,"Southern Midlands",141.3,47.8,4,"Tasmania"
"84",2020-07-01,"Tasman",153.496240601504,71.8721804511278,90,"Tasmania"
"85",2020-07-01,"Waratah/Wynyard",144.191489361702,35.9574468085106,34,"Tasmania"
"86",2020-07-01,"West Coast",153.456310679612,59.8834951456311,63,"Tasmania"
"87",2020-07-01,"West Tamar",150.780303030303,55.7045454545455,67,"Tasmania"
"88",2020-08-01,"Break O'Day",170.31265993266,48.4612794612795,424,"Tasmania"
"89",2020-08-01,"Brighton",112.9375,50.3125,18,"Tasmania"
"90",2020-08-01,"Burnie",114.662272727273,38.8939393939394,27,"Tasmania"
"91",2020-08-01,"Central Coast",135.340737704918,46.2950819672131,125,"Tasmania"
"92",2020-08-01,"Central Highlands",172.477272727273,35,41,"Tasmania"
"93",2020-08-01,"Circular Head",158.659108910891,27.6534653465347,103,"Tasmania"
"94",2020-08-01,"Clarence",147.062450331126,55.4172185430464,166,"Tasmania"
"95",2020-08-01,"Derwent Valley",145.0375,42.875,65,"Tasmania"
"96",2020-08-01,"Devonport",139.810526315789,63.4842105263158,55,"Tasmania"
"97",2020-08-01,"Dorset",171.662014925373,40.4179104477612,242,"Tasmania"
"98",2020-08-01,"Flinders",182.838709677419,8.41935483870968,11,"Tasmania"
"99",2020-08-01,"George Town",169.257142857143,24.8571428571429,38,"Tasmania"
"100",2020-08-01,"Glamorgan/Spring Bay",184.770408163265,68.030612244898,526,"Tasmania"
"101",2020-08-01,"Glenorchy",108.035384615385,57.6581196581197,52,"Tasmania"
"102",2020-08-01,"Hobart",146.857837301587,79.0714285714286,501,"Tasmania"
"103",2020-08-01,"Huon Valley",158.654509803922,40.3398692810458,179,"Tasmania"
"104",2020-08-01,"Kentish",139.401297709924,53.4503816793893,128,"Tasmania"
"105",2020-08-01,"King Island",200.466666666667,24.8666666666667,3,"Tasmania"
"106",2020-08-01,"Kingborough",161.247275747508,55.5083056478405,399,"Tasmania"
"107",2020-08-01,"Latrobe",154.964285714286,25.8571428571429,40,"Tasmania"
"108",2020-08-01,"Launceston",131.179744186047,76.3162790697674,385,"Tasmania"
"109",2020-08-01,"Meander Valley",150.576086956522,43.7826086956522,77,"Tasmania"
"110",2020-08-01,"Northern Midlands",147.831325301205,54.4819277108434,60,"Tasmania"
"111",2020-08-01,"Sorell",141.691489361702,47.2872340425532,72,"Tasmania"
"112",2020-08-01,"Southern Midlands",135.7,48.45,13,"Tasmania"
"113",2020-08-01,"Tasman",151.016888888889,72.4444444444444,207,"Tasmania"
"114",2020-08-01,"Waratah/Wynyard",141.346304347826,37.9347826086956,114,"Tasmania"
"115",2020-08-01,"West Coast",148.359649122807,55.780701754386,151,"Tasmania"
"116",2020-08-01,"West Tamar",147.814814814815,54.1037037037037,133,"Tasmania"
"117",2020-09-01,"Break O'Day",174.771506849315,49.1952054794521,197,"Tasmania"
"118",2020-09-01,"Brighton",114.466666666667,50.4,5,"Tasmania"
"119",2020-09-01,"Burnie",114.861538461538,38.5230769230769,21,"Tasmania"
"120",2020-09-01,"Central Coast",134.330578512397,46.7190082644628,72,"Tasmania"
"121",2020-09-01,"Central Highlands",174.265813953488,35.9767441860465,17,"Tasmania"
