"","months","neighbourhood_cleansed","price","city","state"
"84",2020-07-01,"Tasman",153.496240601504,"Tasmania","Tasmania"
"85",2020-07-01,"Waratah/Wynyard",144.191489361702,"Tasmania","Tasmania"
"86",2020-07-01,"West Coast",153.456310679612,"Tasmania","Tasmania"
"87",2020-07-01,"West Tamar",150.780303030303,"Tasmania","Tasmania"
"88",2020-08-01,"Break O'Day",170.31265993266,"Tasmania","Tasmania"
"89",2020-08-01,"Brighton",112.9375,"Tasmania","Tasmania"
"90",2020-08-01,"Burnie",114.662272727273,"Tasmania","Tasmania"
"91",2020-08-01,"Central Coast",135.340737704918,"Tasmania","Tasmania"
"92",2020-08-01,"Central Highlands",172.477272727273,"Tasmania","Tasmania"
"93",2020-08-01,"Circular Head",158.659108910891,"Tasmania","Tasmania"
"94",2020-08-01,"Clarence",147.062450331126,"Tasmania","Tasmania"
"95",2020-08-01,"Derwent Valley",145.0375,"Tasmania","Tasmania"
"96",2020-08-01,"Devonport",139.810526315789,"Tasmania","Tasmania"
"97",2020-08-01,"Dorset",171.662014925373,"Tasmania","Tasmania"
"98",2020-08-01,"Flinders",182.838709677419,"Tasmania","Tasmania"
"99",2020-08-01,"George Town",169.257142857143,"Tasmania","Tasmania"
"100",2020-08-01,"Glamorgan/Spring Bay",184.770408163265,"Tasmania","Tasmania"
"101",2020-08-01,"Glenorchy",108.035384615385,"Tasmania","Tasmania"
"102",2020-08-01,"Hobart",146.857837301587,"Tasmania","Tasmania"
"103",2020-08-01,"Huon Valley",158.654509803922,"Tasmania","Tasmania"
"104",2020-08-01,"Kentish",139.401297709924,"Tasmania","Tasmania"
"105",2020-08-01,"King Island",200.466666666667,"Tasmania","Tasmania"
"106",2020-08-01,"Kingborough",161.247275747508,"Tasmania","Tasmania"
"107",2020-08-01,"Latrobe",154.964285714286,"Tasmania","Tasmania"
"108",2020-08-01,"Launceston",131.179744186047,"Tasmania","Tasmania"
"109",2020-08-01,"Meander Valley",150.576086956522,"Tasmania","Tasmania"
"110",2020-08-01,"Northern Midlands",147.831325301205,"Tasmania","Tasmania"
"111",2020-08-01,"Sorell",141.691489361702,"Tasmania","Tasmania"
"112",2020-08-01,"Southern Midlands",135.7,"Tasmania","Tasmania"
