"","months","neighbourhood_cleansed","price","city","state"
"88",2020-08-01,"Fairfield",82.0568181818182,"sydney","New South Wales"
"89",2020-08-01,"Holroyd",82.7772619047619,"sydney","New South Wales"
"90",2020-08-01,"Hornsby",105.580744680851,"sydney","New South Wales"
"91",2020-08-01,"Hunters Hill",162.918918918919,"sydney","New South Wales"
"92",2020-08-01,"Hurstville",90.968612716763,"sydney","New South Wales"
"93",2020-08-01,"Ku-Ring-Gai",124.455923344948,"sydney","New South Wales"
"94",2020-08-01,"Lane Cove",115.46835443038,"sydney","New South Wales"
"95",2020-08-01,"Leichhardt",151.181818181818,"sydney","New South Wales"
"96",2020-08-01,"Liverpool",108.645390070922,"sydney","New South Wales"
"97",2020-08-01,"Manly",172.429659270998,"sydney","New South Wales"
"98",2020-08-01,"Marrickville",104.869959183673,"sydney","New South Wales"
"99",2020-08-01,"Mosman",167.402428115016,"sydney","New South Wales"
"100",2020-08-01,"North Sydney",139.317292250233,"sydney","New South Wales"
"101",2020-08-01,"Parramatta",98.6051926977688,"sydney","New South Wales"
"102",2020-08-01,"Penrith",116.506756756757,"sydney","New South Wales"
"103",2020-08-01,"Pittwater",202.268944723618,"sydney","New South Wales"
"104",2020-08-01,"Randwick",127.172614607615,"sydney","New South Wales"
"105",2020-08-01,"Rockdale",94.6696391752577,"sydney","New South Wales"
"106",2020-08-01,"Ryde",92.0268500948767,"sydney","New South Wales"
"107",2020-08-01,"Strathfield",90.1823529411765,"sydney","New South Wales"
"108",2020-08-01,"Sutherland Shire",143.400636792453,"sydney","New South Wales"
"109",2020-08-01,"Sydney",131.492942453855,"sydney","New South Wales"
"110",2020-08-01,"The Hills Shire",103.171821305842,"sydney","New South Wales"
"111",2020-08-01,"Warringah",157.457235387046,"sydney","New South Wales"
"112",2020-08-01,"Waverley",149.820021378942,"sydney","New South Wales"
"113",2020-08-01,"Willoughby",120.420909090909,"sydney","New South Wales"
"114",2020-08-01,"Woollahra",151.805519421861,"sydney","New South Wales"
"115",2020-09-01,"Ashfield",98.6403571428571,"sydney","New South Wales"
"116",2020-09-01,"Auburn",104.189760638298,"sydney","New South Wales"
"117",2020-09-01,"Bankstown",88.1742857142857,"sydney","New South Wales"
"118",2020-09-01,"Blacktown",73.1911743772242,"sydney","New South Wales"
"119",2020-09-01,"Botany Bay",96.0054028436019,"sydney","New South Wales"
"120",2020-09-01,"Burwood",87.8935384615385,"sydney","New South Wales"
"121",2020-09-01,"Camden",110.473125,"sydney","New South Wales"
"122",2020-09-01,"Campbelltown",107.412551020408,"sydney","New South Wales"
"123",2020-09-01,"Canada Bay",122.273942558747,"sydney","New South Wales"
"124",2020-09-01,"Canterbury",87.1793965517241,"sydney","New South Wales"
"125",2020-09-01,"City Of Kogarah",90.9833488372093,"sydney","New South Wales"
"126",2020-09-01,"Fairfield",86.1507692307692,"sydney","New South Wales"
"127",2020-09-01,"Holroyd",85.4421052631579,"sydney","New South Wales"
"128",2020-09-01,"Hornsby",104.834951456311,"sydney","New South Wales"
"129",2020-09-01,"Hunters Hill",162.581951219512,"sydney","New South Wales"
"130",2020-09-01,"Hurstville",89.6193298969072,"sydney","New South Wales"
"131",2020-09-01,"Ku-Ring-Gai",122.661290322581,"sydney","New South Wales"
"132",2020-09-01,"Lane Cove",115.646653846154,"sydney","New South Wales"
"133",2020-09-01,"Leichhardt",151.924310998736,"sydney","New South Wales"
"134",2020-09-01,"Liverpool",110.081481481481,"sydney","New South Wales"
"135",2020-09-01,"Manly",172.193859011628,"sydney","New South Wales"
"136",2020-09-01,"Marrickville",104.19771040724,"sydney","New South Wales"
"137",2020-09-01,"Mosman",169.223426183844,"sydney","New South Wales"
"138",2020-09-01,"North Sydney",140.610983193277,"sydney","New South Wales"
"139",2020-09-01,"Parramatta",97.5293032015066,"sydney","New South Wales"
"140",2020-09-01,"Penrith",115.504551282051,"sydney","New South Wales"
"141",2020-09-01,"Pittwater",203.019968895801,"sydney","New South Wales"
"142",2020-09-01,"Randwick",126.050990647731,"sydney","New South Wales"
"143",2020-09-01,"Rockdale",94.8366513233602,"sydney","New South Wales"
"144",2020-09-01,"Ryde",93.888234295416,"sydney","New South Wales"
"145",2020-09-01,"Strathfield",89.6693298969072,"sydney","New South Wales"
"146",2020-09-01,"Sutherland Shire",142.544053452116,"sydney","New South Wales"
"147",2020-09-01,"Sydney",131.602284979172,"sydney","New South Wales"
"148",2020-09-01,"The Hills Shire",101.71142384106,"sydney","New South Wales"
"149",2020-09-01,"Warringah",157.182463976945,"sydney","New South Wales"
"150",2020-09-01,"Waverley",148.998351262862,"sydney","New South Wales"
"151",2020-09-01,"Willoughby",122.460936819172,"sydney","New South Wales"
"152",2020-09-01,"Woollahra",151.395795454545,"sydney","New South Wales"
"153",2020-10-01,"Ashfield",100.280649819495,"sydney","New South Wales"
"154",2020-10-01,"Auburn",103.586185286104,"sydney","New South Wales"
"155",2020-10-01,"Bankstown",89.5559073359073,"sydney","New South Wales"
"156",2020-10-01,"Blacktown",74.6302573529412,"sydney","New South Wales"
"157",2020-10-01,"Botany Bay",96.2276058631922,"sydney","New South Wales"
"158",2020-10-01,"Burwood",85.5272519083969,"sydney","New South Wales"
