"","months","neighbourhood_cleansed","price","state"
"88",2021-01-01,"Southern Grampians",154.604362628488,"Victoria"
"89",2021-02-01,"Southern Grampians",153.934378447909,"Victoria"
"90",2021-03-01,"Southern Grampians",158.326669759031,"Victoria"
"91",2021-04-01,"Southern Grampians",156.770860679233,"Victoria"
"92",2020-04-01,"Surf Coast",280.667789757412,"Victoria"
"93",2020-05-01,"Surf Coast",284.928428160435,"Victoria"
"94",2020-06-01,"Surf Coast",284.145449561574,"Victoria"
"95",2020-07-01,"Surf Coast",292.226843933885,"Victoria"
"96",2020-08-01,"Surf Coast",296.604023464361,"Victoria"
"97",2020-09-01,"Surf Coast",300.981202994837,"Victoria"
"98",2020-10-01,"Surf Coast",299.41163402738,"Victoria"
"99",2020-11-01,"Surf Coast",306.962041932674,"Victoria"
"100",2020-12-01,"Surf Coast",326.38311690071,"Victoria"
"101",2021-01-01,"Surf Coast",329.137640453453,"Victoria"
"102",2021-02-01,"Surf Coast",322.341154553296,"Victoria"
"103",2021-03-01,"Surf Coast",322.968068702179,"Victoria"
"104",2021-04-01,"Surf Coast",334.364325401179,"Victoria"
"105",2020-04-01,"Warrnambool",192.448571428571,"Victoria"
"106",2020-05-01,"Warrnambool",191.939519702732,"Victoria"
"107",2020-06-01,"Warrnambool",193.624187253735,"Victoria"
"108",2020-07-01,"Warrnambool",197.409593715846,"Victoria"
"109",2020-08-01,"Warrnambool",199.675729062808,"Victoria"
"110",2020-09-01,"Warrnambool",201.941864409771,"Victoria"
"111",2020-10-01,"Warrnambool",196.247203614091,"Victoria"
"112",2020-11-01,"Warrnambool",196.327223813758,"Victoria"
"113",2020-12-01,"Warrnambool",214.607954475719,"Victoria"
"114",2021-01-01,"Warrnambool",218.491172776504,"Victoria"
"115",2021-02-01,"Warrnambool",209.627708017401,"Victoria"
"116",2021-03-01,"Warrnambool",212.89832980301,"Victoria"
"117",2021-04-01,"Warrnambool",218.053790149582,"Victoria"
